"CODE","PPP_2018"
"ABW",NA
"AFG",524.162880925404
"AGO",3289.64666408633
"ALB",5284.38018438156
"AND",41793.0552583729
"ARB",6603.35119013708
"ARE",43839.3563491413
"ARG",11683.9496216363
"ARM",4220.49027671249
"ASM",11466.6907058505
"ATG",16726.9808079479
"AUS",57395.9194663167
"AUT",51525.0464342791
"AZE",4739.84171028393
"BDI",271.752044376648
"BEL",47491.3232594693
"BEN",1240.82946441954
"BFA",820.160793810547
"BGD",1698.35039428122
"BGR",9423.5586115666
"BHR",23991.05667694
"BHS",32217.871590084
"BIH",6072.18099160639
"BLR",6330.0752464187
"BLZ",4884.7341615523
"BMU",NA
"BOL",3548.59015254032
"BRA",9001.23424863499
"BRB",17745.1934649963
"BRN",31628.3287914349
"BTN",3243.23112593497
"BWA",8279.60136473398
"CAF",475.953609871945
"CAN",46313.1713712961
"CEB",15966.6683367845
"CHE",82818.1081617471
"CHI",NA
"CHL",15924.7942393064
"CHN",9976.67682180773
"CIV",2302.61295091153
"CMR",1534.49127445052
"COD",557.064418324276
"COG",2223.85447919587
"COL",6718.58532391314
"COM",1415.95531263535
"CPV",3617.32748829173
"CRI",12112.1344206452
"CSS",9982.26808917155
"CUB",8821.81889125004
"CUW",19573.892645136
"CYM",85477.2870130687
"CYP",28689.7067225792
"CZE",23046.9491261402
"DEU",47639.0034407122
"DJI",3141.88921873893
"DMA",7691.34509727878
"DNK",61390.6930097009
"DOM",8050.63044027449
"DZA",4114.71506136896
"EAP",7971.13751452149
"EAR",3582.00222702088
"EAS",11316.7604501843
"ECA",8013.86070821048
"ECS",25171.425966277
"ECU",6295.93539868079
"EGY",2549.13225178609
"EMU",39965.8403338731
"ERI",NA
"ESP",30337.6791331632
"EST",23258.4675814303
"ETH",771.523813864476
"EUU",35659.75714691
"FCS",2148.37917410722
"FIN",50021.2910567702
"FJI",6266.96795881419
"FRA",41631.0907389044
"FRO",NA
"FSM",3568.291015625
"GAB",7956.62781558686
"GBR",43043.2278164551
"GEO",4722.78778321766
"GHA",2202.31216442504
"GIB",NA
"GIN",983.309492239346
"GMB",712.512371079256
"GNB",777.969921786711
"GNQ",10144.1958108456
"GRC",20324.3050137875
"GRD",10485.9071571796
"GRL",54470.9563864255
"GTM",4472.89236269013
"GUM",35712.5621350321
"GUY",4979.00218839886
"HIC",44351.039059563
"HKG",48542.887332961
"HND",2505.7767518956
"HPC",955.518907332905
"HRV",14920.1913831924
"HTI",868.342024762787
"HUN",16150.7727613725
"IBD",6451.68568201707
"IBT",5153.20210555709
"IDA",1359.69623307619
"IDB",1753.09130179051
"IDN",3893.84642475571
"IDX",1162.75026642006
"IMN",NA
"IND",2005.86300452403
"INX",NA
"IRL",78621.2279552716
"IRN",NA
"IRQ",5834.16621076139
"ISL",72968.7042306678
"ISR",41719.7254417057
"ITA",34520.085162403
"JAM",5354.2368587703
"JOR",4241.78878213854
"JPN",39159.4235633952
"KAZ",9812.60140498928
"KEN",1707.98680529003
"KGZ",1308.14016549619
"KHM",1512.12670972847
"KIR",1698.25628626739
"KNA",19275.2772604415
"KOR",33340.265151682
"KWT",33994.3819171507
"LAC",8583.06800249045
"LAO",2542.4865281792
"LBN",8024.80327081387
"LBR",677.322178545364
"LBY",7877.12225061884
"LCA",11357.8890096382
"LCN",9081.19452696958
"LDC",1056.78618652863
"LIC",781.532781919437
"LIE",NA
"LKA",4080.56712469552
"LMC",2090.13010911588
"LMY",5001.97002596974
"LSO",1221.88376312516
"LTE",9840.78199770609
"LTU",19080.6173717553
"LUX",116654.26106674
"LVA",17805.2803143817
"MAC",87208.535912643
"MAF",NA
"MAR",3222.20063433213
"MCO",185829.017960407
"MDA",4233.99955588135
"MDG",527.501326141803
"MDV",10330.615614094
"MEA",8049.97955098301
"MEX",9673.44367360619
"MHL",3788.16359372058
"MIC",5480.3092148448
"MKD",6062.94260420864
"MLI",900.110164506815
"MLT",30133.4661748731
"MMR",1418.17762347196
"MNA",NA
"MNE",8850.09273291116
"MNG",4134.98719823511
"MNP",23258.6758552794
"MOZ",498.957220208652
"MRT",1600.87646860561
"MUS",11208.2273695738
"MWI",381.258987601084
"MYS",11373.2330025676
"NAC",61163.8387741408
"NAM",5495.42883582824
"NCL",NA
"NER",571.526992228733
"NGA",2032.72970882575
"NIC",2020.54702818624
"NLD",53048.0962104394
"NOR",81734.4655736102
"NPL",1038.65164702443
"NRU",9762.38930182711
"NZL",42949.9305849512
"OED",39261.4095108163
"OMN",16414.8880173692
"OSS",14632.3985928237
"PAK",1482.30566684338
"PAN",15592.573678922
"PER",6941.23584763012
"PHL",3252.09232412664
"PLW",15859.4348578768
"PNG",2720.3852453824
"POL",15460.6442805468
"PRE",1449.03451071747
"PRI",31621.8934700005
"PRK",NA
"PRT",23461.5718628115
"PRY",5805.67561638869
"PSE",3198.86664447405
"PSS",4223.95841619381
"PST",45243.533434324
"PYF",NA
"QAT",68793.7844372614
"ROU",12408.5964891293
"RUS",11370.8134559314
"RWA",782.618140904879
"SAS",1899.60923323667
"SAU",23338.9634581127
"SDN",623.867252394076
"SEN",1465.59100640191
"SGP",66188.7793961798
"SLB",2137.69070046201
"SLE",533.991184258936
"SLV",4067.65944881154
"SMR",48481.0133042107
"SOM",NA
"SRB",7246.19198607054
"SSA",1576.77661522188
"SSD",NA
"SSF",1589.42515617081
"SST",13158.7022004688
"STP",2001.1369778051
"SUR",6003.723065571
"SVK",19428.1162135733
"SVN",26054.5421049784
"SWE",54589.0603860606
"SWZ",4145.97411002514
"SXM",NA
"SYC",16390.824875738
"SYR",NA
"TCA",27142.2277976902
"TCD",726.149881109447
"TEA",8054.88978500165
"TEC",8877.96559484033
"TGO",678.95563806112
"THA",7295.47561612095
"TJK",826.621530538704
"TKM",6966.63541063077
"TLA",8924.13335106833
"TLS",1237.10268208254
"TMN",NA
"TON",4364.0155613495
"TSA",1899.60923323667
"TSS",1589.42515617081
"TTO",17129.9130902577
"TUN",3438.78908914627
"TUR",9370.1763549731
"TUV",3700.74426252192
"TZA",1060.99461489421
"UGA",767.097759575903
"UKR",3096.81740221352
"UMC",8911.91151883684
"URY",17277.9701101852
"USA",62840.0202387954
"UZB",1529.08286351335
"VCT",7361.4009618002
"VEN",NA
"VGB",NA
"VIR",NA
"VNM",2566.59694958511
"VUT",3095.70215584493
"WLD",11374.8467633071
"WSM",4183.40803207908
"XKX",4419.91432698449
"YEM",968.159047582999
"ZAF",6374.02819575944
"ZMB",1556.33448154128
"ZWE",1683.74057709465
